label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	4.06	81.74	0.00	0.00	72.76	0.00	10.20	90.44	4.00	311
2	9.34	96.96	0.00	0.00	88.40	0.00	19.72	108.12	4.00	504
3	4.59	108.30	0.00	0.00	99.96	0.00	12.92	119.00	4.00	350
4	5.97	124.93	0.00	0.00	116.28	0.00	14.28	133.28	4.00	395
5	9.84	141.00	0.00	0.00	130.56	0.00	20.40	151.64	4.00	734
6	2.64	154.77	0.00	0.00	145.52	0.00	8.16	167.96	4.00	229
7	9.56	177.45	0.00	0.00	167.28	0.00	23.80	190.40	4.00	785
8	3.37	190.27	0.00	0.00	185.64	0.00	10.20	197.88	4.00	150
9	6.31	199.97	0.00	0.00	190.40	0.00	14.28	208.76	4.00	396
10	9.10	213.65	0.00	0.00	204.00	0.00	19.72	224.40	4.00	599
11	3.57	228.65	0.00	0.00	221.68	0.00	10.20	238.00	4.00	239
12	11.06	160.89	0.00	0.68	150.96	0.00	19.04	170.68	4.00	516
13	14.98	229.68	0.00	2.72	216.92	0.00	27.88	243.44	4.00	767
14	15.83	74.15	0.00	6.12	65.96	0.00	26.52	82.96	4.00	518
15	15.46	114.02	0.00	6.12	104.72	0.00	23.80	123.08	4.00	423
16	12.28	248.07	0.00	6.12	240.72	0.00	19.04	256.36	4.00	296
17	14.11	85.05	0.00	9.52	81.60	0.00	20.40	89.76	4.00	141
18	21.05	198.73	0.00	12.24	189.72	0.00	34.00	209.44	4.00	565
19	21.60	127.75	0.00	12.92	118.32	0.00	30.60	136.68	4.00	470
20	24.32	258.33	0.00	12.92	244.80	0.00	36.04	269.96	4.00	910
21	22.90	91.74	0.00	13.60	82.28	0.00	32.64	102.00	4.00	489
22	23.43	184.17	0.00	13.60	176.80	0.00	32.64	191.76	4.00	427
23	23.28	305.85	0.00	14.96	295.80	0.00	31.28	316.88	4.00	521
