label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	3.61	133.63	0.00	0.00	127.16	0.00	8.84	140.76	4.00	183
2	2.88	147.36	0.00	0.00	140.08	0.00	8.16	156.40	4.00	208
3	6.88	163.86	0.00	0.00	154.36	0.00	18.36	173.40	4.00	532
4	4.84	177.62	0.00	0.00	172.04	0.00	10.88	183.60	4.00	223
5	8.16	197.81	0.00	0.00	182.24	0.00	19.04	212.16	4.00	1018
6	9.27	231.41	0.00	0.00	210.12	0.00	28.56	261.12	4.00	1751
7	8.76	269.98	0.00	0.00	260.44	0.00	20.40	279.48	4.00	647
8	23.96	253.55	0.00	4.08	235.28	0.00	43.52	272.68	4.00	1752
9	13.68	138.57	0.00	4.76	129.88	0.00	24.48	146.88	4.00	484
10	14.25	153.37	0.00	4.76	146.20	0.00	21.76	164.56	4.00	404
11	21.19	186.79	0.00	9.52	171.36	0.00	39.44	197.20	4.00	711
12	27.18	177.05	0.00	12.24	163.88	0.00	40.80	191.76	4.00	837
13	30.31	281.09	0.00	16.32	271.32	0.00	45.56	292.40	4.00	837
14	26.34	130.79	0.00	17.00	123.08	0.00	34.68	140.08	4.00	456
15	30.79	204.20	0.00	17.00	193.12	0.00	44.20	214.88	4.00	970
16	27.64	222.38	0.00	17.00	212.84	0.00	38.08	234.60	4.00	658
17	25.77	148.93	0.00	18.36	140.08	0.00	34.68	161.84	4.00	447
18	33.79	159.68	0.00	19.72	144.84	0.00	42.84	173.40	4.00	807
19	38.02	7.34	0.00	21.08	0.00	0.00	53.72	19.72	4.00	956
20	35.44	267.66	0.00	25.16	261.12	0.00	45.56	274.04	4.00	352
21	40.03	234.79	0.00	28.56	222.36	0.00	52.36	246.16	4.00	689
22	42.60	132.18	0.00	29.92	117.64	0.00	54.40	146.88	4.00	1095
23	43.70	173.09	0.00	36.04	165.92	0.00	53.04	182.24	4.00	348
24	51.79	223.02	0.00	38.08	210.80	0.00	68.00	237.32	4.00	925
25	51.71	250.39	0.00	38.08	239.36	0.00	69.36	264.52	4.00	912
26	50.76	186.18	0.00	39.44	175.44	0.00	63.24	198.56	4.00	826
27	57.45	266.78	0.00	40.12	246.84	0.00	76.16	286.96	4.00	1520
28	51.68	155.32	0.00	41.48	144.16	0.00	65.96	167.96	4.00	833
