label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	2.51	53.36	0.00	0.00	44.20	0.00	8.84	66.64	4.00	246
2	5.19	69.36	0.00	0.00	63.24	0.00	12.24	76.16	4.00	247
3	2.74	79.51	0.00	0.00	74.12	0.00	7.48	85.00	4.00	126
4	2.40	89.15	0.00	0.00	84.32	0.00	6.80	97.24	4.00	127
5	6.16	97.86	0.00	0.00	87.72	0.00	11.56	106.76	4.00	330
6	5.43	111.32	0.00	0.00	102.00	0.00	14.96	119.00	4.00	342
7	2.69	124.72	0.00	0.00	118.32	0.00	7.48	132.60	4.00	171
8	3.06	343.46	0.00	0.00	338.64	0.00	7.48	348.16	4.00	136
9	9.30	37.73	0.00	2.72	29.92	0.00	17.68	46.24	4.00	344
10	9.53	55.93	0.00	2.72	46.24	0.00	15.64	65.96	4.00	347
11	13.39	125.98	0.00	4.76	119.00	0.00	23.12	131.92	4.00	295
12	11.87	78.46	0.00	5.44	67.32	0.00	18.36	89.76	4.00	397
13	18.39	116.29	0.00	8.16	109.48	0.00	27.88	123.76	4.00	447
14	16.15	97.97	0.00	10.20	83.64	0.00	23.80	110.16	4.00	528
15	23.28	39.39	0.00	10.88	29.92	0.00	36.04	50.32	4.00	659
16	21.27	64.28	0.00	12.24	48.96	0.00	32.64	77.52	4.00	643
17	25.14	91.10	0.00	17.68	73.44	0.00	32.64	110.84	4.00	810
18	33.20	127.99	0.00	20.40	110.16	0.00	48.96	140.08	4.00	1102
19	26.45	53.04	0.00	21.08	44.88	0.00	32.64	61.20	4.00	279
20	36.54	75.70	0.00	27.88	64.60	0.00	44.20	87.72	4.00	494
21	31.32	65.45	0.00	28.56	59.84	0.00	36.04	70.72	4.00	109
22	41.22	47.55	0.00	29.92	38.76	0.00	51.68	61.20	4.00	690
23	35.61	59.13	0.00	29.92	51.68	0.00	42.84	65.96	4.00	227
24	40.39	95.38	0.00	31.28	82.28	0.00	55.08	110.84	4.00	845
25	41.69	32.65	0.00	32.64	25.84	0.00	51.68	39.44	4.00	436
