label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	1.14	314.61	0.00	0.00	304.64	0.00	4.08	326.40	4.00	132
2	9.37	339.20	0.00	0.00	325.72	0.00	23.80	348.16	4.00	787
3	14.24	315.82	0.00	2.72	299.88	0.00	29.24	332.52	4.00	1131
4	19.94	81.90	0.00	10.20	71.40	0.00	27.88	95.20	4.00	423
5	20.66	331.38	0.00	13.60	324.36	0.00	27.88	339.32	4.00	238
6	20.91	116.10	0.00	14.28	108.12	0.00	30.60	122.40	4.00	322
7	31.37	105.75	0.00	17.00	95.20	0.00	48.96	119.00	4.00	935
8	29.70	321.91	0.00	20.40	312.80	0.00	40.80	331.16	4.00	482
9	33.94	343.46	0.00	21.76	335.92	0.00	46.24	348.16	4.00	382
10	33.27	298.55	0.00	23.12	290.36	0.00	43.52	306.68	4.00	474
11	32.98	334.84	0.00	23.80	325.72	0.00	41.48	342.72	4.00	399
12	30.15	207.02	0.00	24.48	201.28	0.00	37.40	212.84	4.00	220
13	31.21	85.53	0.00	25.16	78.20	0.00	38.76	95.20	4.00	340
14	31.19	284.73	0.00	25.16	278.80	0.00	36.72	291.04	4.00	187
15	35.67	72.08	0.00	25.84	63.92	0.00	46.24	80.92	4.00	510
16	38.67	311.09	0.00	27.20	301.24	0.00	48.28	321.64	4.00	547
17	37.99	94.71	0.00	29.24	88.40	0.00	46.92	101.32	4.00	327
18	36.29	122.39	0.00	29.92	115.60	0.00	42.16	131.24	4.00	230
19	37.97	145.38	0.00	31.96	138.72	0.00	47.60	154.36	4.00	311
20	44.43	116.30	0.00	36.72	106.76	0.00	50.32	125.80	4.00	346
21	45.63	133.52	0.00	36.72	123.08	0.00	55.76	142.80	4.00	504
22	43.19	287.64	0.00	36.72	280.84	0.00	51.68	296.48	4.00	342
23	47.37	82.89	0.00	38.08	75.48	0.00	59.84	93.16	4.00	484
24	49.50	330.04	0.00	38.76	320.96	0.00	63.92	338.64	4.00	641
25	51.76	299.90	0.00	42.84	290.36	0.00	62.56	308.72	4.00	505
26	48.83	343.40	0.00	43.52	338.64	0.00	54.40	348.16	4.00	200
27	56.42	316.90	0.00	44.20	305.32	0.00	66.64	331.16	4.00	732
28	55.77	92.25	0.00	44.88	82.28	0.00	65.96	102.00	4.00	568
29	56.04	112.32	0.00	47.60	99.96	0.00	65.96	129.20	4.00	792
30	58.05	147.74	0.00	47.60	136.00	0.00	68.68	159.80	4.00	829
31	60.10	341.94	0.00	53.04	335.24	0.00	68.00	348.16	4.00	322
32	62.94	127.71	0.00	53.72	118.32	0.00	72.08	137.36	4.00	511
33	63.67	295.90	0.00	56.44	289.00	0.00	72.08	305.32	4.00	366
34	68.69	106.25	0.00	59.84	95.20	0.00	76.84	121.04	4.00	506
35	73.61	332.29	0.00	62.56	324.36	0.00	86.36	341.36	4.00	605
36	70.79	315.74	0.00	63.24	305.32	0.00	80.24	325.72	4.00	519
37	73.76	146.57	0.00	63.92	134.64	0.00	83.64	159.12	4.00	644
38	73.40	302.70	0.00	65.28	297.16	0.00	81.60	308.72	4.00	264
39	76.03	343.94	0.00	66.64	338.64	0.00	88.40	348.16	4.00	317
40	76.50	133.63	0.00	68.00	126.48	0.00	84.32	140.76	4.00	314
41	81.50	120.63	0.00	71.40	106.76	0.00	89.08	132.60	4.00	557
42	78.87	108.58	0.00	72.08	99.96	0.00	88.40	120.36	4.00	338
43	81.41	321.94	0.00	75.48	314.84	0.00	86.36	329.80	4.00	191
44	89.88	164.14	0.00	76.16	156.40	0.00	102.68	170.68	4.00	552
45	84.37	308.94	0.00	76.84	301.92	0.00	93.16	316.88	4.00	349
46	85.60	157.08	0.00	78.88	150.96	0.00	93.84	162.52	4.00	205
47	89.67	297.59	0.00	80.24	287.64	0.00	97.92	309.40	4.00	535
48	91.09	147.97	0.00	81.60	137.36	0.00	102.68	158.44	4.00	556
49	89.94	338.66	0.00	81.60	330.48	0.00	98.60	348.16	4.00	444
50	91.16	131.14	0.00	83.64	125.12	0.00	99.28	138.72	4.00	295
51	90.20	323.11	0.00	85.00	314.84	0.00	97.24	331.16	4.00	315
52	94.15	116.23	0.00	87.04	107.44	0.00	102.68	125.80	4.00	483
53	94.83	280.30	0.00	87.72	272.00	0.00	102.68	289.68	4.00	387
54	97.32	314.21	0.00	90.44	308.04	0.00	104.72	320.96	4.00	260
55	99.02	137.19	0.00	91.80	127.16	0.00	106.08	148.24	4.00	379
56	99.35	343.21	0.00	92.48	335.24	0.00	105.40	348.16	4.00	191
57	104.16	326.58	0.00	93.84	316.88	0.00	114.92	335.92	4.00	576
58	105.83	306.63	0.00	96.56	300.56	0.00	114.92	314.16	4.00	373
59	105.45	121.73	0.00	98.60	114.92	0.00	114.24	129.88	4.00	300
60	105.78	270.47	0.00	98.60	264.52	0.00	112.88	276.76	4.00	266
61	104.63	195.92	0.00	99.28	190.40	0.00	110.16	202.64	4.00	205
62	108.95	138.02	0.00	100.64	119.68	0.00	116.28	151.64	4.00	581
63	111.50	158.56	0.00	101.32	148.24	0.00	123.76	169.32	4.00	717
64	110.32	338.36	0.00	101.32	331.84	0.00	119.00	346.12	4.00	395
65	111.25	172.54	0.00	102.00	165.92	0.00	119.00	182.92	4.00	357
66	108.17	205.95	0.00	103.36	199.92	0.00	114.24	212.16	4.00	176
67	108.80	346.28	0.00	104.72	344.76	0.00	114.92	348.16	4.00	63
68	116.95	189.48	0.00	108.80	182.24	0.00	126.48	196.52	4.00	336
69	117.66	201.20	0.00	108.80	193.80	0.00	126.48	210.12	4.00	451
70	123.10	140.19	0.00	112.88	127.84	0.00	131.92	150.28	4.00	494
71	119.08	127.77	0.00	114.24	119.00	0.00	127.16	140.08	4.00	386
72	125.12	339.51	0.00	114.24	327.76	0.00	136.68	348.16	4.00	627
73	125.52	174.20	0.00	115.60	165.92	0.00	138.04	183.60	4.00	522
74	124.17	156.21	0.00	119.00	148.24	0.00	130.56	166.60	4.00	297
75	129.05	186.03	0.00	119.68	176.80	0.00	136.00	195.16	4.00	403
76	137.88	142.32	0.00	125.80	129.88	0.00	150.96	154.36	4.00	733
77	131.81	201.42	0.00	125.80	193.80	0.00	140.08	209.44	4.00	349
78	132.79	314.31	0.00	125.80	308.72	0.00	140.08	321.64	4.00	272
79	135.19	126.26	0.00	126.48	119.68	0.00	144.16	135.32	4.00	438
80	135.65	161.77	0.00	127.84	153.00	0.00	144.84	171.36	4.00	490
81	136.37	212.36	0.00	129.20	206.04	0.00	144.16	218.96	4.00	302
82	137.15	327.90	0.00	129.20	316.88	0.00	146.20	337.28	4.00	468
83	139.36	341.66	0.00	133.28	335.24	0.00	145.52	348.16	4.00	268
84	145.07	197.79	0.00	133.96	189.04	0.00	157.08	208.76	4.00	577
