label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	19.12	11.85	0.00	0.00	0.00	0.00	55.08	33.32	4.00	2229
2	5.33	40.58	0.00	0.00	32.64	0.00	14.96	49.64	4.00	355
3	4.17	64.71	0.00	0.00	48.96	0.00	10.88	78.20	4.00	476
4	5.41	88.15	0.00	0.00	74.80	0.00	12.92	99.28	4.00	567
5	10.15	120.80	0.00	0.00	99.28	0.00	25.16	144.16	4.00	1605
6	2.72	140.80	0.00	0.00	128.52	0.00	7.48	151.64	4.00	266
7	9.95	165.84	0.00	0.00	150.96	0.00	23.80	179.52	4.00	969
8	4.12	245.78	0.00	0.00	241.40	0.00	10.20	251.60	4.00	181
9	10.26	342.31	0.00	0.00	334.56	0.00	20.40	348.16	4.00	425
10	12.29	55.45	0.00	2.72	43.52	0.00	20.40	69.36	4.00	590
11	12.90	32.23	0.00	3.40	25.84	0.00	21.08	40.80	4.00	393
12	15.60	152.49	0.00	3.40	146.88	0.00	26.52	160.48	4.00	419
13	18.95	142.84	0.00	6.80	136.00	0.00	28.56	148.24	4.00	366
14	20.40	72.90	0.00	8.84	60.52	0.00	33.32	87.04	4.00	824
15	15.14	190.49	0.00	9.52	182.92	0.00	21.76	197.20	4.00	226
16	22.05	91.91	0.00	12.24	77.52	0.00	31.28	104.04	4.00	834
17	24.38	48.73	0.00	14.28	38.08	0.00	35.36	62.56	4.00	706
18	29.39	118.66	0.00	14.28	102.68	0.00	46.92	136.68	4.00	1406
19	23.36	340.51	0.00	17.68	333.20	0.00	29.92	348.16	4.00	297
20	25.78	161.30	0.00	19.72	155.04	0.00	33.32	167.28	4.00	215
21	28.54	31.50	0.00	20.40	21.76	0.00	38.08	42.84	4.00	528
22	27.98	171.76	0.00	20.40	165.24	0.00	35.36	178.84	4.00	298
23	36.68	152.85	0.00	23.80	142.12	0.00	51.00	163.20	4.00	777
24	33.12	329.52	0.00	24.48	322.32	0.00	41.48	337.28	4.00	379
25	42.98	138.17	0.00	26.52	121.04	0.00	53.72	153.00	4.00	849
26	34.06	342.26	0.00	26.52	334.56	0.00	42.84	348.16	4.00	281
27	40.43	58.05	0.00	29.92	43.52	0.00	55.08	72.08	4.00	838
28	36.14	86.60	0.00	29.92	76.16	0.00	44.88	102.00	4.00	561
29	34.89	314.50	0.00	29.92	306.00	0.00	40.80	323.00	4.00	329
30	44.01	97.87	0.00	30.60	89.08	0.00	57.80	104.72	4.00	529
31	41.36	173.37	0.00	30.60	159.12	0.00	53.72	189.04	4.00	934
32	37.14	71.44	0.00	31.28	65.28	0.00	44.88	77.52	4.00	253
33	49.22	109.24	0.00	32.64	95.88	0.00	62.56	121.72	4.00	877
34	39.53	24.56	0.00	33.32	16.32	0.00	46.24	33.32	4.00	359
35	49.12	33.30	0.00	35.36	20.40	0.00	61.88	44.88	4.00	859
36	43.78	192.47	0.00	36.04	186.32	0.00	51.68	199.24	4.00	297
37	40.85	10.01	0.00	36.72	4.76	0.00	46.24	17.00	4.00	178
38	42.72	339.37	0.00	38.08	333.20	0.00	48.28	347.48	4.00	223
39	47.15	325.97	0.00	38.76	316.20	0.00	55.76	337.28	4.00	544
40	53.99	49.99	0.00	41.48	40.12	0.00	66.64	64.60	4.00	762
41	49.30	75.31	0.00	42.16	65.96	0.00	57.12	85.00	4.00	354
42	50.78	12.22	0.00	42.84	2.72	0.00	59.84	21.76	4.00	473
43	47.23	345.55	0.00	42.84	341.36	0.00	52.36	348.16	4.00	70
44	55.87	177.42	0.00	44.20	167.28	0.00	67.32	189.72	4.00	667
45	58.11	87.22	0.00	44.88	77.52	0.00	71.40	96.56	4.00	683
46	54.79	195.74	0.00	47.60	187.68	0.00	61.88	202.64	4.00	307
47	51.73	341.06	0.00	48.28	336.60	0.00	56.44	346.80	4.00	136
48	62.76	161.73	0.00	49.64	151.64	0.00	78.88	171.36	4.00	696
49	54.45	132.06	0.00	50.32	120.36	0.00	59.84	146.20	4.00	420
50	59.28	345.02	0.00	52.36	341.36	0.00	65.96	348.16	4.00	144
51	61.82	3.86	0.00	53.72	0.00	0.00	70.04	10.20	4.00	249
52	61.94	146.88	0.00	53.72	140.76	0.00	72.08	153.68	4.00	312
53	59.34	334.52	0.00	53.72	325.72	0.00	66.64	342.72	4.00	325
54	67.05	75.50	0.00	54.40	65.28	0.00	80.24	87.72	4.00	645
55	68.32	61.76	0.00	55.08	50.32	0.00	80.24	70.72	4.00	708
56	66.35	107.34	0.00	55.08	91.80	0.00	76.16	121.72	4.00	814
57	64.85	22.14	0.00	56.44	9.52	0.00	75.48	38.08	4.00	766
58	64.33	133.98	0.00	57.12	121.72	0.00	75.48	144.16	4.00	470
59	63.58	188.98	0.00	57.12	182.24	0.00	70.04	195.84	4.00	240
60	68.39	153.36	0.00	60.52	147.56	0.00	75.48	159.12	4.00	225
61	68.65	41.87	0.00	61.20	34.00	0.00	76.16	51.00	4.00	351
62	71.59	178.02	0.00	63.24	169.32	0.00	81.60	187.68	4.00	481
63	71.84	127.53	0.00	65.28	117.64	0.00	77.52	139.40	4.00	401
64	77.74	343.56	0.00	65.28	336.60	0.00	92.48	348.16	4.00	455
65	72.93	6.90	0.00	65.96	0.00	0.00	79.56	16.32	4.00	323
66	75.42	188.80	0.00	69.36	180.88	0.00	82.28	195.84	4.00	249
67	80.02	43.85	0.00	70.04	31.28	0.00	90.44	59.16	4.00	760
68	87.97	88.50	0.00	70.72	70.72	0.00	104.04	106.76	4.00	1646
69	81.50	109.55	0.00	70.72	96.56	0.00	96.56	120.36	4.00	685
70	80.80	25.47	0.00	71.40	16.32	0.00	92.48	34.00	4.00	537
71	77.20	146.30	0.00	71.40	139.40	0.00	83.64	153.00	4.00	245
72	91.43	159.45	0.00	72.76	149.60	0.00	110.84	170.68	4.00	1146
73	82.70	9.38	0.00	76.16	0.00	0.00	90.44	18.36	4.00	365
74	81.17	130.13	0.00	76.84	119.68	0.00	87.72	140.76	4.00	361
75	92.26	176.51	0.00	78.20	164.56	0.00	106.08	189.72	4.00	965
76	92.52	331.17	0.00	78.20	317.56	0.00	106.08	344.76	4.00	1022
77	87.89	64.60	0.00	78.88	57.80	0.00	99.96	72.76	4.00	506
78	86.16	193.04	0.00	78.88	182.92	0.00	95.20	202.64	4.00	485
79	90.85	144.04	0.00	80.24	136.00	0.00	102.68	153.68	4.00	557
80	93.67	46.96	0.00	81.60	26.52	0.00	103.36	62.56	4.00	874
81	94.16	4.10	0.00	82.28	0.00	0.00	104.72	12.24	4.00	334
82	91.27	119.12	0.00	82.28	106.76	0.00	98.60	129.88	4.00	498
83	91.58	18.48	0.00	83.64	10.88	0.00	97.24	27.20	4.00	289
84	91.55	132.94	0.00	86.36	128.52	0.00	97.24	138.04	4.00	157
85	98.50	305.48	0.00	89.76	295.12	0.00	107.44	317.56	4.00	519
86	99.73	344.41	0.00	91.80	339.32	0.00	108.12	348.16	4.00	219
87	102.39	74.18	0.00	93.16	61.20	0.00	111.52	87.04	4.00	583
88	98.64	286.46	0.00	93.84	280.16	0.00	104.72	295.80	4.00	254
89	103.29	127.25	0.00	94.52	106.76	0.00	114.24	140.76	4.00	784
90	102.30	10.26	0.00	95.20	2.72	0.00	110.16	17.00	4.00	259
91	104.26	29.37	0.00	95.20	23.80	0.00	113.56	36.04	4.00	344
92	102.12	192.66	0.00	95.20	184.28	0.00	110.16	201.96	4.00	354
93	105.44	19.10	0.00	96.56	12.24	0.00	114.24	25.16	4.00	338
94	111.62	58.89	0.00	97.24	34.00	0.00	125.80	84.32	4.00	1541
95	109.93	313.69	0.00	97.92	300.56	0.00	123.08	328.44	4.00	782
96	115.01	297.53	0.00	98.60	286.28	0.00	131.24	311.44	4.00	801
97	112.49	104.46	0.00	99.28	100.64	0.00	127.16	110.84	4.00	458
98	115.01	92.00	0.00	100.64	80.92	0.00	129.88	100.64	4.00	932
99	111.54	117.27	0.00	101.32	107.44	0.00	121.04	129.20	4.00	495
100	113.24	148.16	0.00	101.32	137.36	0.00	128.52	159.12	4.00	878
101	109.95	341.42	0.00	102.68	332.52	0.00	118.32	348.16	4.00	281
102	126.33	167.26	0.00	103.36	147.56	0.00	142.80	190.40	4.00	2003
103	113.17	184.10	0.00	103.36	174.76	0.00	123.08	195.16	4.00	629
104	112.72	2.58	0.00	104.72	0.00	0.00	125.12	7.48	4.00	214
105	110.53	281.92	0.00	104.72	275.40	0.00	117.64	289.00	4.00	275
106	122.23	197.81	0.00	105.40	185.64	0.00	136.68	207.40	4.00	828
107	117.93	332.55	0.00	105.40	324.36	0.00	130.56	342.72	4.00	646
108	118.47	9.00	0.00	108.12	0.00	0.00	127.16	17.68	4.00	376
109	118.47	28.48	0.00	110.84	18.36	0.00	127.84	37.40	4.00	478
110	120.09	44.45	0.00	112.20	37.40	0.00	129.88	54.40	4.00	432
111	125.16	138.34	0.00	112.88	127.84	0.00	138.72	150.28	4.00	662
112	122.92	319.63	0.00	113.56	310.76	0.00	131.24	329.12	4.00	479
113	122.22	17.84	0.00	114.24	12.92	0.00	127.84	24.48	4.00	209
114	125.19	119.50	0.00	115.60	105.40	0.00	136.00	131.92	4.00	623
115	123.02	286.48	0.00	115.60	278.80	0.00	131.92	295.12	4.00	382
116	126.37	55.47	0.00	116.96	45.56	0.00	136.00	65.28	4.00	474
117	131.69	343.11	0.00	117.64	336.60	0.00	146.88	348.16	4.00	552
118	135.06	36.21	0.00	123.76	25.84	0.00	146.20	47.60	4.00	775
119	130.76	78.34	0.00	123.76	63.92	0.00	141.44	93.16	4.00	640
120	133.77	296.70	0.00	125.12	288.32	0.00	142.12	306.00	4.00	480
121	134.72	14.44	0.00	125.80	0.00	0.00	146.20	27.20	4.00	877
122	134.85	107.68	0.00	125.80	95.88	0.00	146.88	119.00	4.00	670
123	134.28	250.41	0.00	127.16	243.44	0.00	144.16	257.04	4.00	339
124	139.29	58.07	0.00	127.84	46.92	0.00	149.60	65.96	4.00	502
125	136.16	313.87	0.00	127.84	305.32	0.00	146.88	325.72	4.00	493
126	143.89	94.07	0.00	129.88	83.64	0.00	159.12	105.40	4.00	785
127	138.52	135.28	0.00	129.88	123.76	0.00	145.52	148.24	4.00	516
128	141.37	328.30	0.00	129.88	315.52	0.00	153.00	339.32	4.00	776
129	139.62	205.22	0.00	130.56	194.48	0.00	146.88	216.24	4.00	572
130	140.06	239.30	0.00	130.56	229.16	0.00	149.60	251.60	4.00	577
131	140.86	3.54	0.00	132.60	0.00	0.00	146.88	9.52	4.00	195
132	142.88	181.19	0.00	132.60	162.52	0.00	154.36	195.84	4.00	825
133	140.29	70.66	0.00	133.28	64.60	0.00	148.24	79.56	4.00	334
134	141.13	121.92	0.00	135.32	114.92	0.00	146.88	129.88	4.00	234
135	142.93	222.29	0.00	137.36	214.88	0.00	149.60	231.88	4.00	326
136	145.58	283.22	0.00	139.40	276.76	0.00	153.68	290.36	4.00	321
137	146.63	299.83	0.00	139.40	289.00	0.00	153.68	312.12	4.00	545
138	152.13	48.15	0.00	140.08	38.76	0.00	163.88	59.84	4.00	680
139	154.49	81.21	0.00	140.08	64.60	0.00	167.96	96.56	4.00	972
140	152.73	159.20	0.00	142.12	147.56	0.00	164.56	173.40	4.00	1006
141	150.01	29.78	0.00	142.80	21.08	0.00	157.76	40.12	4.00	473
142	157.56	256.14	0.00	142.80	244.80	0.00	172.72	267.24	4.00	974
143	150.99	342.14	0.00	142.80	335.24	0.00	159.80	348.16	4.00	322
144	150.65	119.69	0.00	143.48	108.80	0.00	161.16	128.52	4.00	419
145	150.36	11.28	0.00	144.84	0.00	0.00	158.44	22.44	4.00	459
146	161.17	135.16	0.00	144.84	119.00	0.00	178.16	148.92	4.00	1598
147	155.67	202.73	0.00	144.84	184.28	0.00	167.96	217.60	4.00	1067
148	152.00	225.09	0.00	144.84	214.20	0.00	160.48	238.00	4.00	445
149	160.15	109.68	0.00	146.20	96.56	0.00	176.12	121.04	4.00	856
150	155.33	314.87	0.00	146.20	307.36	0.00	165.24	323.68	4.00	449
151	154.48	176.60	0.00	148.24	172.04	0.00	160.48	184.28	4.00	184
152	161.35	60.19	0.00	148.92	50.32	0.00	173.40	69.36	4.00	615
153	162.56	234.52	0.00	148.92	216.24	0.00	174.76	250.92	4.00	1210
154	155.00	271.59	0.00	149.60	264.52	0.00	162.52	279.48	4.00	302
155	157.21	285.95	0.00	150.28	278.80	0.00	167.96	292.40	4.00	301
