label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	10.05	18.50	0.00	0.00	0.00	0.00	22.44	36.04	4.00	1562
2	14.90	52.76	0.00	0.00	34.68	0.00	35.36	72.08	4.00	2242
3	16.37	77.24	0.00	0.00	65.28	0.00	38.08	92.48	4.00	1410
4	23.88	92.60	0.00	0.00	74.12	0.00	47.60	108.12	4.00	1799
5	9.96	119.21	0.00	0.00	102.68	0.00	31.96	146.88	4.00	1372
6	12.27	159.02	0.00	0.00	144.16	0.00	29.92	170.00	4.00	1224
7	12.20	180.62	0.00	0.00	168.64	0.00	31.28	196.52	4.00	1342
8	7.49	214.07	0.00	0.00	196.52	0.00	21.08	235.28	4.00	1108
9	1.43	236.92	0.00	0.00	232.56	0.00	4.76	242.76	4.00	64
10	14.08	241.78	0.00	0.00	232.56	0.00	28.56	252.96	4.00	895
11	2.46	254.33	0.00	0.00	249.56	0.00	6.80	259.08	4.00	105
12	8.55	258.59	0.00	0.00	249.56	0.00	17.68	265.88	4.00	339
13	7.88	269.45	0.00	0.00	263.16	0.00	17.00	277.44	4.00	385
14	3.54	285.51	0.00	0.00	275.40	0.00	9.52	295.12	4.00	295
15	14.56	298.97	0.00	0.00	283.56	0.00	27.88	315.52	4.00	1067
16	4.74	308.94	0.00	0.00	297.16	0.00	12.92	316.20	4.00	300
17	5.11	323.23	0.00	0.00	314.84	0.00	13.60	334.56	4.00	412
18	3.02	340.31	0.00	0.00	332.52	0.00	7.48	348.16	4.00	212
19	12.37	278.28	0.00	4.76	272.68	0.00	20.40	284.24	4.00	253
20	18.94	201.00	0.00	5.44	193.80	0.00	30.60	210.80	4.00	498
21	17.85	227.22	0.00	6.12	216.92	0.00	29.24	235.28	4.00	548
22	22.89	145.27	0.00	6.80	135.32	0.00	35.36	157.08	4.00	812
23	26.74	120.63	0.00	8.84	95.20	0.00	43.52	140.76	4.00	1595
24	21.76	252.13	0.00	14.28	247.52	0.00	30.60	258.40	4.00	291
25	28.68	262.11	0.00	14.96	253.64	0.00	44.20	268.60	4.00	617
26	27.62	187.93	0.00	16.32	174.08	0.00	37.40	198.56	4.00	603
27	22.60	271.56	0.00	16.32	267.24	0.00	30.60	278.12	4.00	209
28	29.71	287.77	0.00	16.32	277.44	0.00	48.28	298.52	4.00	645
29	34.47	221.32	0.00	21.08	208.76	0.00	46.92	234.60	4.00	1017
30	37.91	276.84	0.00	23.80	267.92	0.00	50.32	286.28	4.00	828
31	45.87	206.44	0.00	25.84	191.76	0.00	68.00	221.00	4.00	1424
32	37.49	245.12	0.00	27.20	233.24	0.00	48.28	262.48	4.00	909
33	36.66	160.65	0.00	28.56	150.96	0.00	46.24	171.36	4.00	589
34	39.57	141.80	0.00	30.60	130.56	0.00	47.60	153.68	4.00	561
35	41.42	180.43	0.00	30.60	170.00	0.00	51.68	193.80	4.00	758
36	51.41	116.06	0.00	36.04	91.80	0.00	70.72	137.36	4.00	2053
37	57.87	159.44	0.00	42.16	148.92	0.00	76.84	174.08	4.00	1018
38	52.22	255.09	0.00	42.16	240.72	0.00	63.92	272.68	4.00	950
39	55.02	228.30	0.00	46.24	217.60	0.00	68.00	241.40	4.00	757
40	55.04	344.32	0.00	46.24	339.32	0.00	62.56	348.16	4.00	226
41	54.31	144.17	0.00	46.92	132.60	0.00	65.28	153.68	4.00	547
42	57.49	313.31	0.00	46.92	295.80	0.00	70.04	329.12	4.00	1042
43	63.05	284.38	0.00	47.60	267.92	0.00	80.24	305.32	4.00	1868
44	55.87	185.15	0.00	48.96	176.80	0.00	64.60	193.80	4.00	401
45	59.26	170.81	0.00	50.32	163.20	0.00	68.68	178.16	4.00	318
