label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	6.61	245.52	0.00	0.00	238.00	0.00	19.04	261.12	4.00	471
2	4.48	265.58	0.00	0.00	260.44	0.00	10.20	270.64	4.00	190
3	10.85	254.86	0.00	2.72	246.16	0.00	19.72	263.84	4.00	438
4	19.71	272.68	0.00	8.16	261.12	0.00	34.00	284.24	4.00	837
5	19.38	233.50	0.00	10.20	225.08	0.00	29.24	243.44	4.00	547
6	23.31	213.44	0.00	15.64	206.04	0.00	34.68	225.08	4.00	511
7	23.85	260.38	0.00	16.32	254.32	0.00	31.96	267.24	4.00	300
8	26.82	248.44	0.00	18.36	238.68	0.00	35.36	259.76	4.00	514
9	31.06	284.32	0.00	19.04	277.44	0.00	41.48	290.36	4.00	386
10	30.19	220.68	0.00	23.12	214.88	0.00	38.08	228.48	4.00	324
11	36.39	236.50	0.00	27.20	225.76	0.00	46.92	246.84	4.00	522
12	35.03	72.24	0.00	29.24	66.64	0.00	40.80	78.88	4.00	202
13	37.29	274.25	0.00	30.60	267.24	0.00	44.88	281.52	4.00	302
14	37.45	197.98	0.00	31.28	191.08	0.00	45.56	207.40	4.00	334
15	38.32	261.81	0.00	31.28	255.68	0.00	47.60	267.92	4.00	272
16	37.12	290.85	0.00	31.96	289.00	0.00	42.16	293.76	4.00	84
17	39.87	251.40	0.00	33.32	244.12	0.00	46.24	259.08	4.00	309
18	42.71	224.95	0.00	35.36	217.60	0.00	50.32	233.92	4.00	390
19	51.70	270.74	0.00	39.44	262.48	0.00	63.92	278.12	4.00	512
20	49.95	284.82	0.00	41.48	276.08	0.00	60.52	295.80	4.00	578
21	55.15	253.05	0.00	45.56	238.00	0.00	66.64	267.92	4.00	1008
22	63.15	289.09	0.00	56.44	277.44	0.00	70.72	299.88	4.00	492
23	66.80	245.99	0.00	61.88	240.04	0.00	74.12	251.60	4.00	187
24	70.15	268.78	0.00	61.88	261.80	0.00	79.56	276.08	4.00	310
25	70.23	278.06	0.00	61.88	272.68	0.00	78.88	284.92	4.00	242
26	73.02	233.24	0.00	62.56	222.36	0.00	86.36	243.44	4.00	743
27	72.60	256.36	0.00	64.60	248.88	0.00	80.92	263.84	4.00	384
28	75.47	301.82	0.00	69.36	297.16	0.00	82.96	307.36	4.00	204
29	82.96	229.58	0.00	77.52	224.40	0.00	87.72	236.64	4.00	150
30	84.28	258.51	0.00	79.56	253.64	0.00	89.76	264.52	4.00	172
31	103.13	102.62	0.00	91.80	91.80	0.00	112.88	112.20	4.00	582
32	99.45	232.06	0.00	93.16	225.76	0.00	105.40	238.68	4.00	275
33	116.85	255.35	0.00	103.36	244.12	0.00	129.20	266.56	4.00	898
34	115.14	143.99	0.00	104.72	133.28	0.00	129.20	154.36	4.00	732
35	115.76	231.15	0.00	104.72	216.24	0.00	126.48	244.12	4.00	991
36	113.24	210.67	0.00	106.08	196.52	0.00	120.36	223.72	4.00	520
37	125.45	87.78	0.00	106.76	77.52	0.00	145.52	98.60	4.00	1341
38	122.28	160.99	0.00	108.12	147.56	0.00	133.28	176.12	4.00	1019
39	123.82	102.82	0.00	111.52	96.56	0.00	137.36	110.16	4.00	567
40	120.78	323.03	0.00	111.52	308.04	0.00	130.56	335.92	4.00	702
41	128.69	198.01	0.00	114.92	189.72	0.00	142.80	208.08	4.00	764
42	130.94	129.76	0.00	116.28	120.36	0.00	146.20	144.16	4.00	913
43	128.82	116.07	0.00	119.00	108.80	0.00	144.16	123.76	4.00	566
44	130.27	180.80	0.00	120.36	170.68	0.00	142.12	190.40	4.00	652
45	128.93	215.20	0.00	120.36	204.00	0.00	139.40	230.52	4.00	722
46	135.55	37.50	0.00	123.08	25.84	0.00	148.92	48.96	4.00	776
47	134.97	247.06	0.00	123.76	238.68	0.00	148.92	259.08	4.00	731
48	131.09	278.89	0.00	123.76	263.84	0.00	140.76	297.16	4.00	772
49	137.85	229.52	0.00	125.80	217.60	0.00	152.32	240.72	4.00	725
50	137.47	327.18	0.00	125.80	305.32	0.00	151.64	348.16	4.00	1753
51	138.41	144.05	0.00	129.20	131.24	0.00	148.24	153.00	4.00	547
52	144.61	260.82	0.00	129.20	248.20	0.00	157.76	272.68	4.00	987
