label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	12.27	75.56	0.00	0.00	61.20	0.00	29.24	88.40	4.00	1408
2	15.73	102.28	0.00	0.00	87.04	0.00	38.76	119.68	4.00	2126
3	14.47	132.98	0.00	0.00	117.64	0.00	33.32	147.56	4.00	1777
4	14.90	171.20	0.00	0.00	145.52	0.00	35.36	200.60	4.00	3183
5	12.56	288.68	0.00	0.00	270.64	0.00	27.20	306.68	4.00	2004
6	29.12	233.15	0.00	14.96	214.20	0.00	44.20	250.92	4.00	1399
7	25.84	207.43	0.00	18.36	197.88	0.00	36.04	217.60	4.00	443
8	29.27	188.60	0.00	23.12	179.52	0.00	35.36	195.84	4.00	285
9	37.56	73.58	0.00	23.80	57.80	0.00	53.04	88.40	4.00	1004
10	33.16	291.31	0.00	24.48	274.72	0.00	44.20	309.40	4.00	1035
11	31.69	147.50	0.00	25.16	140.76	0.00	39.44	155.04	4.00	333
12	31.84	216.23	0.00	25.16	210.12	0.00	39.44	222.36	4.00	228
13	32.91	254.19	0.00	25.16	248.20	0.00	43.52	263.16	4.00	386
14	31.70	270.97	0.00	25.16	265.88	0.00	38.76	276.76	4.00	230
15	31.63	118.47	0.00	25.84	110.16	0.00	39.44	125.12	4.00	248
16	36.08	106.48	0.00	27.20	98.60	0.00	45.56	116.96	4.00	474
17	49.91	142.03	0.00	29.24	122.40	0.00	72.76	161.84	4.00	1657
18	39.45	171.12	0.00	29.24	157.76	0.00	50.32	184.28	4.00	784
19	39.82	154.67	0.00	34.00	150.28	0.00	44.88	159.80	4.00	163
20	43.80	187.10	0.00	34.00	178.16	0.00	53.72	195.16	4.00	401
21	43.15	86.13	0.00	36.04	80.24	0.00	49.64	91.80	4.00	205
22	48.30	92.03	0.00	36.04	81.60	0.00	59.16	101.32	4.00	498
23	49.67	122.36	0.00	37.40	108.12	0.00	63.92	137.36	4.00	888
24	43.67	197.41	0.00	37.40	190.40	0.00	52.36	204.68	4.00	281
25	49.98	302.60	0.00	37.40	284.24	0.00	61.20	322.32	4.00	1278
26	55.09	59.34	0.00	40.12	49.64	0.00	69.36	69.36	4.00	812
27	49.50	239.94	0.00	40.80	231.88	0.00	58.48	249.56	4.00	497
28	50.85	6.11	0.00	41.48	0.00	0.00	63.92	14.96	4.00	545
29	52.61	279.88	0.00	42.84	271.32	0.00	61.88	287.64	4.00	395
30	50.34	103.33	0.00	44.20	97.24	0.00	58.48	109.48	4.00	251
31	53.50	159.22	0.00	44.20	150.96	0.00	63.24	167.96	4.00	450
32	51.74	76.00	0.00	45.56	68.68	0.00	57.80	84.32	4.00	246
33	52.88	172.25	0.00	47.60	164.56	0.00	61.20	181.56	4.00	294
34	55.79	186.26	0.00	50.32	179.52	0.00	62.56	193.12	4.00	254
35	60.96	266.39	0.00	51.68	258.40	0.00	70.72	274.72	4.00	494
36	58.40	111.81	0.00	53.04	104.04	0.00	65.96	120.36	4.00	282
37	62.77	93.49	0.00	53.72	84.32	0.00	72.08	104.04	4.00	514
38	59.13	77.28	0.00	55.08	69.36	0.00	63.92	85.00	4.00	184
