label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	170.77	4.93	0.00	151.64	0.00	0.00	196.52	14.96	4.00	927
2	189.07	22.55	0.00	159.12	2.72	0.00	224.40	44.88	4.00	3791
3	180.33	45.10	0.00	163.88	37.40	0.00	197.20	51.00	4.00	616
4	181.18	59.94	0.00	164.56	46.24	0.00	200.60	76.16	4.00	1347
5	183.34	89.45	0.00	176.80	75.48	0.00	193.80	104.04	4.00	596
6	187.70	136.00	0.00	177.48	124.44	0.00	198.56	148.92	4.00	683
7	198.82	71.90	0.00	178.84	53.04	0.00	214.88	89.76	4.00	1537
8	190.54	193.12	0.00	178.84	180.20	0.00	203.32	205.36	4.00	803
9	182.95	120.59	0.00	180.20	115.60	0.00	185.64	124.44	4.00	69
10	194.24	116.52	0.00	181.56	97.24	0.00	208.76	137.36	4.00	1309
11	189.98	155.17	0.00	184.96	148.24	0.00	197.20	163.20	4.00	285
12	194.17	178.47	0.00	185.64	170.68	0.00	204.00	187.68	4.00	408
13	195.02	165.57	0.00	186.32	156.40	0.00	202.64	174.08	4.00	387
14	194.06	94.28	0.00	189.04	86.36	0.00	200.60	100.64	4.00	197
15	205.55	40.96	0.00	193.12	28.56	0.00	218.28	55.76	4.00	780
16	200.55	146.79	0.00	193.12	137.36	0.00	209.44	157.08	4.00	410
17	203.65	100.01	0.00	195.16	93.84	0.00	210.80	107.44	4.00	304
18	202.63	4.26	0.00	195.84	0.00	0.00	210.12	11.56	4.00	206
19	203.35	89.86	0.00	197.88	85.00	0.00	209.44	95.20	4.00	198
20	206.32	187.86	0.00	197.88	180.20	0.00	214.88	197.88	4.00	377
21	205.64	226.74	0.00	198.56	213.52	0.00	214.88	238.00	4.00	537
22	209.13	136.60	0.00	199.24	129.20	0.00	220.32	144.16	4.00	350
23	206.12	176.50	0.00	199.92	172.04	0.00	213.52	182.24	4.00	224
24	214.10	155.04	0.00	200.60	143.48	0.00	227.12	166.60	4.00	787
25	210.78	203.06	0.00	200.60	193.12	0.00	226.44	214.20	4.00	655
26	208.65	112.52	0.00	201.28	106.08	0.00	216.92	121.04	4.00	359
27	207.55	167.40	0.00	201.28	160.48	0.00	215.56	176.80	4.00	312
28	213.67	87.42	0.00	206.72	79.56	0.00	223.04	95.88	4.00	343
29	211.22	122.42	0.00	206.72	116.96	0.00	218.28	129.20	4.00	174
30	217.90	3.52	0.00	207.40	0.00	0.00	229.84	9.52	4.00	352
31	215.24	220.89	0.00	207.40	212.84	0.00	225.76	229.84	4.00	332
32	217.18	51.17	0.00	208.08	38.08	0.00	227.12	61.20	4.00	595
33	215.14	101.59	0.00	208.76	95.20	0.00	223.72	107.44	4.00	269
34	216.23	127.93	0.00	209.44	121.72	0.00	221.68	133.28	4.00	218
35	215.73	238.13	0.00	210.12	229.84	0.00	223.04	246.16	4.00	254
36	219.80	67.07	0.00	210.80	59.16	0.00	231.20	74.80	4.00	510
37	222.57	194.04	0.00	211.48	187.68	0.00	232.56	201.28	4.00	399
38	224.65	211.49	0.00	212.16	200.60	0.00	235.96	222.36	4.00	640
39	220.35	185.31	0.00	212.84	181.56	0.00	229.16	191.08	4.00	210
40	226.50	80.89	0.00	213.52	72.76	0.00	241.40	91.12	4.00	608
41	225.68	171.28	0.00	213.52	159.80	0.00	240.04	182.92	4.00	939
42	231.27	140.86	0.00	214.20	125.80	0.00	246.16	153.00	4.00	1108
43	221.55	115.18	0.00	215.56	105.40	0.00	229.84	125.12	4.00	364
44	226.39	249.48	0.00	215.56	240.72	0.00	237.32	258.40	4.00	524
45	226.16	94.84	0.00	216.24	87.04	0.00	236.64	104.04	4.00	477
46	225.99	231.16	0.00	216.24	221.68	0.00	236.64	241.40	4.00	502
47	224.41	36.73	0.00	216.92	25.16	0.00	235.28	47.60	4.00	511
48	226.26	261.54	0.00	216.92	253.64	0.00	235.28	270.64	4.00	409
49	233.74	29.23	0.00	221.00	18.36	0.00	246.16	43.52	4.00	681
50	238.54	117.95	0.00	221.00	104.04	0.00	256.36	135.32	4.00	1180
51	230.85	106.57	0.00	223.04	99.96	0.00	239.36	116.28	4.00	349
52	234.11	8.88	0.00	224.40	0.00	0.00	246.16	19.04	4.00	660
53	233.26	49.37	0.00	225.08	39.44	0.00	243.44	60.52	4.00	529
54	246.56	157.98	0.00	225.08	138.72	0.00	264.52	179.52	4.00	1477
55	235.21	241.84	0.00	225.76	233.92	0.00	243.44	250.92	4.00	323
56	240.60	72.74	0.00	226.44	59.84	0.00	252.96	86.36	4.00	909
57	244.71	189.88	0.00	227.12	180.20	0.00	263.16	200.60	4.00	1070
58	233.89	223.65	0.00	229.16	217.60	0.00	238.68	231.88	4.00	166
59	236.68	204.37	0.00	231.20	197.88	0.00	243.44	212.16	4.00	272
60	247.28	54.44	0.00	232.56	41.48	0.00	259.08	67.32	4.00	912
61	239.33	216.44	0.00	233.24	210.80	0.00	245.48	223.72	4.00	212
62	243.59	268.38	0.00	233.24	257.04	0.00	254.32	279.48	4.00	584
63	242.81	20.31	0.00	233.92	12.92	0.00	252.28	28.56	4.00	377
64	243.91	176.29	0.00	233.92	169.32	0.00	257.04	183.60	4.00	487
65	239.20	257.80	0.00	233.92	250.24	0.00	246.84	266.56	4.00	264
66	246.21	92.26	0.00	234.60	84.32	0.00	260.44	102.68	4.00	614
67	244.65	234.18	0.00	235.96	226.44	0.00	252.28	242.76	4.00	327
68	244.45	223.80	0.00	237.32	216.24	0.00	252.28	231.20	4.00	274
69	244.41	292.03	0.00	238.68	284.24	0.00	250.92	300.56	4.00	264
70	249.38	100.71	0.00	239.36	95.20	0.00	259.08	106.08	4.00	279
71	246.61	131.67	0.00	239.36	122.40	0.00	254.32	141.44	4.00	432
72	248.05	206.55	0.00	240.04	195.84	0.00	255.68	218.96	4.00	534
73	246.64	247.07	0.00	240.04	240.04	0.00	253.64	256.36	4.00	278
74	253.31	28.16	0.00	242.08	21.76	0.00	263.84	34.68	4.00	401
75	248.83	277.24	0.00	242.76	269.28	0.00	254.32	284.24	4.00	217
76	251.97	4.50	0.00	243.44	0.00	0.00	264.52	12.92	4.00	378
77	254.89	38.46	0.00	244.80	33.32	0.00	265.20	45.56	4.00	372
78	253.06	294.53	0.00	245.48	284.92	0.00	261.80	303.96	4.00	400
79	259.66	13.91	0.00	246.84	4.76	0.00	272.00	23.12	4.00	679
80	257.51	252.26	0.00	246.84	243.44	0.00	271.32	263.16	4.00	532
81	257.63	317.53	0.00	249.56	308.04	0.00	264.52	325.04	4.00	335
82	259.91	232.25	0.00	250.24	215.56	0.00	274.04	247.52	4.00	1055
83	262.26	67.19	0.00	250.92	57.80	0.00	274.72	78.20	4.00	723
84	258.04	122.90	0.00	250.92	115.60	0.00	267.24	130.56	4.00	350
85	258.48	280.61	0.00	250.92	269.96	0.00	266.56	290.36	4.00	413
86	260.04	82.67	0.00	251.60	75.48	0.00	270.64	90.44	4.00	437
87	262.01	135.15	0.00	252.96	127.16	0.00	271.32	143.48	4.00	463
88	260.28	150.88	0.00	252.96	141.44	0.00	267.92	159.80	4.00	413
89	263.94	111.84	0.00	254.32	103.36	0.00	277.44	120.36	4.00	486
90	262.86	206.86	0.00	254.32	197.88	0.00	273.36	216.92	4.00	591
91	260.50	265.52	0.00	254.32	257.04	0.00	267.24	274.04	4.00	333
92	265.42	51.26	0.00	257.04	43.52	0.00	276.76	59.16	4.00	465
93	267.30	171.45	0.00	257.04	161.16	0.00	280.16	179.52	4.00	499
94	266.48	183.93	0.00	257.04	176.80	0.00	276.76	193.12	4.00	514
95	266.38	99.82	0.00	258.40	89.76	0.00	276.76	109.48	4.00	528
