label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	9.08	115.38	0.00	0.00	106.08	0.00	21.76	127.84	4.00	809
2	9.14	145.19	0.00	0.00	126.48	0.00	22.44	165.24	4.00	1296
3	4.85	170.45	0.00	0.00	157.08	0.00	15.64	187.68	4.00	554
4	5.01	197.54	0.00	0.00	182.92	0.00	13.60	214.88	4.00	622
5	11.47	235.67	0.00	0.00	212.84	0.00	31.28	257.72	4.00	1871
6	12.62	177.96	0.00	6.12	170.00	0.00	21.08	186.32	4.00	317
7	20.86	203.71	0.00	6.80	182.24	0.00	35.36	225.76	4.00	1953
8	18.32	126.99	0.00	8.84	120.36	0.00	28.56	135.32	4.00	407
9	18.58	168.71	0.00	13.60	163.88	0.00	25.16	175.44	4.00	165
10	23.43	158.55	0.00	16.32	150.96	0.00	32.64	166.60	4.00	342
11	25.91	140.81	0.00	17.00	133.28	0.00	35.36	149.60	4.00	451
12	27.98	112.91	0.00	17.68	102.68	0.00	39.44	124.44	4.00	607
13	25.01	175.82	0.00	18.36	166.60	0.00	31.96	185.64	4.00	335
14	39.73	145.89	0.00	21.76	130.56	0.00	51.68	159.80	4.00	972
15	35.02	128.33	0.00	23.80	121.04	0.00	46.24	136.68	4.00	468
16	38.26	105.72	0.00	26.52	97.92	0.00	48.28	114.24	4.00	412
17	34.02	164.17	0.00	27.20	155.72	0.00	40.80	174.08	4.00	330
18	31.95	96.48	0.00	27.88	92.48	0.00	38.08	100.64	4.00	135
19	40.44	185.89	0.00	27.88	171.36	0.00	54.40	202.64	4.00	949
20	39.44	90.70	0.00	30.60	85.68	0.00	47.60	97.92	4.00	260
21	38.04	119.02	0.00	31.96	114.24	0.00	42.84	123.08	4.00	93
22	48.06	168.58	0.00	37.40	158.44	0.00	61.20	179.52	4.00	739
23	44.51	96.97	0.00	39.44	91.80	0.00	49.64	102.68	4.00	139
