label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	3.16	66.41	0.00	0.00	55.08	0.00	8.16	76.84	4.00	317
2	2.53	94.64	0.00	0.00	85.68	0.00	7.48	106.76	4.00	235
3	6.86	125.42	0.00	0.00	104.72	0.00	19.72	143.48	4.00	1079
4	2.65	152.50	0.00	0.00	143.48	0.00	7.48	162.52	4.00	229
5	7.27	164.31	0.00	0.00	157.08	0.00	17.00	170.68	4.00	325
6	1.73	182.11	0.00	0.00	176.12	0.00	6.12	190.40	4.00	110
7	8.15	187.69	0.00	2.04	181.56	0.00	15.64	193.80	4.00	246
8	16.03	105.82	0.00	2.72	92.48	0.00	27.20	125.12	4.00	1074
9	16.68	146.55	0.00	4.08	129.20	0.00	27.88	161.84	4.00	1035
10	22.66	168.10	0.00	11.56	159.12	0.00	35.36	180.20	4.00	669
11	31.22	121.51	0.00	18.36	112.20	0.00	42.84	130.56	4.00	738
12	32.80	143.23	0.00	23.80	129.20	0.00	42.16	161.84	4.00	966
13	38.63	101.66	0.00	24.48	89.08	0.00	53.04	113.56	4.00	973
14	36.43	174.00	0.00	25.84	163.88	0.00	46.92	182.92	4.00	565
15	49.06	152.96	0.00	34.68	139.40	0.00	66.64	167.28	4.00	1225
16	49.05	115.09	0.00	41.48	104.72	0.00	59.84	126.48	4.00	526
17	50.15	132.17	0.00	41.48	123.08	0.00	61.20	140.08	4.00	503
18	57.94	168.69	0.00	44.20	156.40	0.00	71.40	179.52	4.00	824
19	56.25	68.11	0.00	50.32	63.24	0.00	62.56	74.80	4.00	190
20	63.69	102.05	0.00	50.32	85.68	0.00	76.84	117.64	4.00	1165
21	61.67	121.75	0.00	51.00	114.24	0.00	72.08	129.88	4.00	467
22	61.50	78.22	0.00	54.40	70.04	0.00	68.00	87.04	4.00	326
23	66.14	141.02	0.00	56.44	127.16	0.00	74.80	156.40	4.00	740
24	60.38	344.81	0.00	57.12	341.36	0.00	64.60	348.16	4.00	89
25	71.63	179.60	0.00	61.88	167.28	0.00	82.28	189.04	4.00	546
26	68.70	344.04	0.00	63.24	339.32	0.00	78.20	348.16	4.00	182
27	84.27	89.01	0.00	66.64	78.88	0.00	102.68	99.96	4.00	1137
28	80.81	157.93	0.00	67.32	148.24	0.00	94.52	168.64	4.00	852
29	77.48	124.23	0.00	69.36	114.92	0.00	86.36	132.60	4.00	462
30	87.60	139.91	0.00	71.40	130.56	0.00	103.36	150.96	4.00	1124
31	82.43	173.38	0.00	72.08	167.96	0.00	92.48	181.56	4.00	394
32	83.79	102.12	0.00	75.48	97.24	0.00	95.20	108.80	4.00	339
33	93.07	111.29	0.00	76.16	97.24	0.00	107.44	121.72	4.00	1003
34	85.76	189.11	0.00	78.20	178.16	0.00	92.48	200.60	4.00	449
35	95.44	71.76	0.00	80.24	61.20	0.00	110.16	84.32	4.00	1021
36	94.85	125.56	0.00	85.00	119.68	0.00	104.72	131.92	4.00	457
37	96.70	160.45	0.00	87.72	148.24	0.00	106.08	176.12	4.00	627
38	97.61	331.26	0.00	88.40	321.64	0.00	108.12	340.68	4.00	592
39	98.70	344.12	0.00	88.40	339.32	0.00	110.16	348.16	4.00	315
40	97.75	191.58	0.00	90.44	180.88	0.00	108.12	201.96	4.00	529
