label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	166.81	179.67	0.00	161.16	171.36	0.00	176.12	187.00	4.00	284
2	190.35	244.17	0.00	165.92	232.56	0.00	213.52	257.04	4.00	1682
3	200.11	166.41	0.00	176.12	144.16	0.00	222.36	191.08	4.00	3047
4	197.39	227.05	0.00	181.56	218.28	0.00	211.48	235.28	4.00	752
5	196.27	188.11	0.00	187.68	182.24	0.00	204.68	194.48	4.00	282
6	196.84	141.15	0.00	190.40	135.32	0.00	205.36	146.88	4.00	206
7	207.53	112.38	0.00	191.76	99.96	0.00	224.40	132.60	4.00	1025
8	207.79	136.15	0.00	196.52	127.16	0.00	221.00	144.84	4.00	520
9	213.69	191.36	0.00	204.00	181.56	0.00	223.04	199.92	4.00	466
10	221.76	144.67	0.00	212.16	134.64	0.00	230.52	156.40	4.00	498
11	225.00	120.82	0.00	212.84	102.00	0.00	238.00	136.68	4.00	1421
12	221.81	176.66	0.00	216.24	165.92	0.00	229.16	189.04	4.00	399
13	242.71	110.30	0.00	231.88	97.24	0.00	254.32	124.44	4.00	799
14	246.44	127.55	0.00	236.64	117.64	0.00	257.72	138.04	4.00	619
15	249.65	88.28	0.00	242.08	82.96	0.00	256.36	94.52	4.00	225
16	253.30	97.94	0.00	246.16	90.44	0.00	261.12	104.72	4.00	305
17	257.18	110.17	0.00	251.60	102.00	0.00	265.88	120.36	4.00	277
18	271.60	16.99	0.00	253.64	3.40	0.00	293.08	34.00	4.00	1693
19	264.56	84.50	0.00	256.36	72.76	0.00	274.04	97.24	4.00	614
20	265.96	101.86	0.00	260.44	92.48	0.00	271.32	113.56	4.00	364
21	272.22	2.32	0.00	265.88	0.00	0.00	278.12	6.12	4.00	128
22	273.78	73.05	0.00	267.24	68.00	0.00	279.48	79.56	4.00	201
23	275.54	102.99	0.00	269.28	92.48	0.00	283.56	114.92	4.00	473
24	276.45	86.19	0.00	270.64	78.88	0.00	282.20	93.16	4.00	254
25	279.71	50.83	0.00	271.32	39.44	0.00	294.44	66.64	4.00	571
26	277.28	34.25	0.00	272.00	29.24	0.00	282.88	40.80	4.00	191
27	286.09	110.68	0.00	275.40	102.00	0.00	297.16	121.04	4.00	513
28	280.83	1.89	0.00	277.44	0.00	0.00	286.96	5.44	4.00	71
29	289.67	60.45	0.00	277.44	51.00	0.00	299.88	69.36	4.00	579
30	285.34	75.82	0.00	277.44	66.64	0.00	294.44	87.72	4.00	544
31	290.06	93.24	0.00	280.16	82.96	0.00	301.24	104.04	4.00	641
32	299.84	33.61	0.00	280.84	7.48	0.00	317.56	57.80	4.00	2624
33	294.51	5.54	0.00	282.88	0.00	0.00	306.68	14.28	4.00	506
34	293.50	120.28	0.00	285.60	109.48	0.00	299.88	129.88	4.00	452
35	296.83	78.00	0.00	291.04	70.72	0.00	303.96	85.00	4.00	248
36	307.15	66.35	0.00	294.44	55.08	0.00	318.92	78.20	4.00	877
37	301.79	96.60	0.00	295.80	89.08	0.00	309.40	104.04	4.00	281
38	304.88	118.38	0.00	297.16	103.36	0.00	314.84	131.92	4.00	687
39	310.03	85.21	0.00	299.88	76.84	0.00	320.28	94.52	4.00	538
40	313.56	5.32	0.00	303.28	0.00	0.00	323.68	12.92	4.00	408
41	312.13	105.35	0.00	303.96	93.16	0.00	320.96	116.96	4.00	522
42	314.85	138.29	0.00	308.04	129.20	0.00	322.32	146.88	4.00	428
43	320.89	124.35	0.00	311.44	115.60	0.00	332.52	132.60	4.00	517
44	325.26	76.27	0.00	314.16	67.32	0.00	337.96	84.32	4.00	555
45	324.39	93.75	0.00	314.84	82.28	0.00	333.88	108.12	4.00	686
46	327.46	107.49	0.00	319.60	98.60	0.00	336.60	116.28	4.00	348
47	325.52	158.40	0.00	319.60	150.96	0.00	330.48	164.56	4.00	220
48	328.58	2.95	0.00	320.96	0.00	0.00	337.96	7.48	4.00	223
49	329.93	137.54	0.00	321.64	127.16	0.00	339.32	149.60	4.00	571
50	336.67	117.69	0.00	323.00	107.44	0.00	348.16	127.84	4.00	707
51	339.95	70.67	0.00	329.12	63.92	0.00	348.16	78.88	4.00	488
52	340.76	92.95	0.00	332.52	78.88	0.00	348.16	108.12	4.00	864
53	342.05	139.60	0.00	333.88	123.76	0.00	348.16	154.36	4.00	643
54	342.56	162.32	0.00	335.92	150.28	0.00	348.16	172.04	4.00	459
55	345.93	111.39	0.00	343.40	106.76	0.00	348.16	118.32	4.00	86
56	121.97	244.41	4.00	116.96	235.28	4.00	129.20	252.28	8.00	271
57	131.36	340.21	4.00	120.36	331.16	4.00	141.44	348.16	8.00	553
58	129.48	236.67	4.00	121.04	229.16	4.00	138.72	247.52	8.00	407
59	133.75	272.36	4.00	123.76	263.16	4.00	144.84	284.92	8.00	731
60	133.81	256.02	4.00	124.44	247.52	4.00	145.52	263.84	8.00	550
61	139.36	129.70	4.00	129.20	120.36	4.00	149.60	141.44	8.00	668
62	135.73	244.95	4.00	129.88	238.68	4.00	140.76	249.56	8.00	148
63	138.25	215.44	4.00	132.60	207.40	4.00	146.20	224.40	8.00	359
64	144.71	313.87	4.00	133.96	303.96	4.00	157.08	322.32	8.00	682
65	143.65	201.86	4.00	134.64	190.40	4.00	153.00	212.84	8.00	535
66	142.33	230.24	4.00	134.64	222.36	4.00	151.64	239.36	8.00	445
67	139.05	297.93	4.00	134.64	290.36	4.00	144.84	305.32	8.00	201
68	146.35	283.23	4.00	137.36	269.28	4.00	156.40	294.44	8.00	667
69	146.41	326.91	4.00	137.36	321.64	4.00	157.76	333.88	8.00	412
70	147.03	341.41	4.00	138.04	333.20	4.00	158.44	348.16	8.00	482
71	146.20	249.74	4.00	139.40	238.68	4.00	153.68	261.80	8.00	485
72	151.57	188.85	4.00	140.76	180.20	4.00	164.56	201.28	8.00	610
73	150.96	298.09	4.00	141.44	289.68	4.00	159.80	308.72	8.00	428
74	148.71	151.19	4.00	142.12	140.76	4.00	157.76	163.88	8.00	496
75	150.67	219.03	4.00	142.12	210.80	4.00	159.12	227.80	8.00	377
76	150.61	174.40	4.00	144.16	163.88	4.00	158.44	182.24	8.00	339
77	156.28	266.72	4.00	144.16	257.04	4.00	167.96	278.12	8.00	760
78	156.30	138.26	4.00	146.20	131.24	4.00	167.96	147.56	8.00	478
79	158.81	123.53	4.00	146.88	112.20	4.00	171.36	133.28	8.00	759
80	157.61	234.79	4.00	146.88	219.64	4.00	166.60	248.88	8.00	853
81	157.64	93.94	4.00	149.60	85.68	4.00	165.24	102.00	8.00	366
82	159.95	160.94	4.00	150.96	147.56	4.00	170.00	177.48	8.00	716
83	162.45	203.71	4.00	150.96	189.72	4.00	174.08	219.64	8.00	976
84	164.51	333.27	4.00	150.96	322.32	4.00	178.16	344.76	8.00	979
85	158.92	304.10	4.00	152.32	296.48	4.00	165.92	311.44	8.00	236
86	159.80	252.39	4.00	153.00	246.16	4.00	167.96	258.40	8.00	312
87	164.02	284.88	4.00	155.04	276.76	4.00	176.12	293.08	8.00	537
88	165.56	314.42	4.00	155.04	303.96	4.00	175.44	323.68	8.00	662
89	167.04	179.79	4.00	157.76	170.00	4.00	176.12	190.40	8.00	538
90	171.69	344.92	4.00	157.76	339.32	4.00	184.28	348.16	8.00	276
91	168.75	297.60	4.00	159.80	291.04	4.00	176.12	306.68	8.00	375
92	168.83	143.79	4.00	160.48	136.68	4.00	178.84	152.32	8.00	363
93	172.15	81.81	4.00	161.84	72.08	4.00	183.60	93.84	8.00	717
94	169.53	99.59	4.00	163.20	89.76	4.00	179.52	109.48	8.00	444
95	170.97	272.59	4.00	163.20	265.20	4.00	180.20	280.84	8.00	399
96	175.34	114.30	4.00	164.56	103.36	4.00	185.64	125.12	8.00	649
97	169.79	166.52	4.00	164.56	158.44	4.00	175.44	172.72	8.00	236
98	174.25	214.86	4.00	164.56	202.64	4.00	184.28	224.40	8.00	593
99	173.37	232.33	4.00	164.56	223.04	4.00	185.64	245.48	8.00	653
100	172.60	250.58	4.00	165.24	243.44	4.00	182.24	257.04	8.00	332
101	179.47	133.27	4.00	167.28	123.76	4.00	191.76	142.80	8.00	697
102	173.06	260.68	4.00	167.28	255.68	4.00	179.52	266.56	8.00	221
103	177.95	150.53	4.00	168.64	140.76	4.00	186.32	159.12	8.00	462
104	183.09	191.39	4.00	170.68	180.88	4.00	200.60	200.60	8.00	795
105	179.97	163.56	4.00	172.04	157.08	4.00	190.40	173.40	8.00	357
106	186.99	246.01	4.00	172.04	235.28	4.00	204.68	256.36	8.00	818
107	186.61	279.35	4.00	172.72	266.56	4.00	200.60	291.04	8.00	955
108	186.65	95.11	4.00	173.40	85.00	4.00	199.24	108.12	8.00	807
109	181.02	202.71	4.00	174.08	197.88	4.00	187.68	209.44	8.00	212
110	184.17	299.84	4.00	174.08	289.68	4.00	198.56	308.04	8.00	673
111	185.44	330.66	4.00	174.08	319.60	4.00	202.64	348.16	8.00	928
112	188.90	314.41	4.00	174.76	306.68	4.00	202.64	324.36	8.00	771
113	187.42	174.29	4.00	176.12	163.20	4.00	199.24	182.92	8.00	659
114	182.54	263.02	4.00	176.12	255.68	4.00	189.04	270.64	8.00	288
115	189.59	75.35	4.00	176.80	61.20	4.00	202.64	87.72	8.00	847
116	188.74	120.36	4.00	180.88	108.80	4.00	197.88	131.24	8.00	469
117	185.94	215.46	4.00	181.56	208.76	4.00	191.76	223.04	8.00	211
118	187.37	224.20	4.00	181.56	218.96	4.00	193.12	230.52	8.00	178
119	192.49	152.86	4.00	183.60	141.44	4.00	202.64	164.56	8.00	604
120	191.74	233.16	4.00	184.96	227.80	4.00	199.24	240.72	8.00	257
121	197.44	107.86	4.00	185.64	98.60	4.00	208.08	119.00	8.00	566
122	194.88	204.54	4.00	185.64	197.20	4.00	205.36	212.84	8.00	439
123	199.08	292.64	4.00	186.32	282.20	4.00	210.12	302.60	8.00	635
124	195.43	338.95	4.00	186.32	329.80	4.00	203.32	348.16	8.00	460
125	192.19	50.91	4.00	187.00	46.24	4.00	198.56	57.80	8.00	182
126	196.68	261.91	4.00	187.00	254.32	4.00	206.72	271.32	8.00	607
127	197.00	188.55	4.00	188.36	180.88	4.00	205.36	197.88	8.00	345
128	196.19	20.05	4.00	189.04	6.80	4.00	206.04	35.36	8.00	649
129	199.80	63.06	4.00	190.40	48.28	4.00	208.76	78.20	8.00	706
130	201.35	134.69	4.00	190.40	121.72	4.00	216.24	144.16	8.00	760
131	197.22	214.72	4.00	191.76	210.12	4.00	203.32	219.64	8.00	205
132	203.84	225.44	4.00	191.76	217.60	4.00	215.56	233.92	8.00	561
133	199.56	3.36	4.00	192.44	0.00	4.00	208.76	9.52	8.00	235
