label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	26.00	9.63	0.00	0.00	0.00	0.00	60.52	28.56	4.00	2185
2	2.00	31.67	0.00	0.00	26.52	0.00	5.44	36.72	4.00	93
3	4.72	47.18	0.00	0.00	35.36	0.00	13.60	61.88	4.00	514
4	3.84	75.18	0.00	0.00	61.20	0.00	10.20	89.08	4.00	461
5	9.85	30.93	0.00	4.08	25.84	0.00	17.00	38.08	4.00	219
6	16.39	95.50	0.00	4.76	87.72	0.00	29.24	104.04	4.00	648
7	12.62	53.23	0.00	6.12	44.20	0.00	20.40	61.88	4.00	321
8	17.35	76.44	0.00	7.48	61.88	0.00	29.92	90.44	4.00	1040
9	19.55	108.10	0.00	10.20	99.96	0.00	29.24	117.64	4.00	414
10	21.92	38.86	0.00	10.88	29.24	0.00	33.32	50.32	4.00	677
11	18.74	60.45	0.00	10.88	55.08	0.00	26.52	65.28	4.00	227
12	26.99	18.23	0.00	14.96	8.84	0.00	40.12	31.28	4.00	792
13	25.34	26.82	0.00	19.72	22.44	0.00	31.96	31.96	4.00	178
14	25.74	54.42	0.00	20.40	47.60	0.00	33.32	61.88	4.00	215
15	32.06	70.80	0.00	24.48	58.48	0.00	38.76	85.00	4.00	590
16	35.01	90.00	0.00	27.20	83.64	0.00	42.84	96.56	4.00	349
17	36.00	50.80	0.00	27.88	44.20	0.00	44.88	60.52	4.00	415
18	36.09	104.89	0.00	27.88	95.88	0.00	44.88	116.28	4.00	581
19	40.33	35.99	0.00	30.60	25.16	0.00	51.00	47.60	4.00	665
20	50.50	60.86	0.00	37.40	49.64	0.00	63.92	72.08	4.00	1004
21	43.91	76.77	0.00	37.40	70.72	0.00	52.36	85.00	4.00	338
22	43.38	21.19	0.00	38.08	15.64	0.00	51.68	26.52	4.00	202
23	44.62	123.35	0.00	38.76	115.60	0.00	50.32	131.24	4.00	311
24	47.87	85.53	0.00	41.48	80.24	0.00	55.08	91.12	4.00	206
25	49.79	96.22	0.00	41.48	87.72	0.00	59.16	103.36	4.00	406
26	50.19	109.43	0.00	42.84	102.00	0.00	58.48	117.64	4.00	419
27	51.83	42.10	0.00	44.88	33.32	0.00	59.84	51.00	4.00	283
28	52.61	24.91	0.00	45.56	19.04	0.00	60.52	34.00	4.00	271
29	57.34	125.10	0.00	49.64	114.92	0.00	66.64	135.32	4.00	519
30	56.51	78.17	0.00	50.32	70.72	0.00	62.56	85.00	4.00	267
31	64.01	30.25	0.00	52.36	22.44	0.00	77.52	38.76	4.00	520
32	67.74	42.86	0.00	53.04	33.32	0.00	83.64	52.36	4.00	776
