label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1	4.19	192.93	0.00	0.00	186.32	0.00	10.88	200.60	4.00	161
2	2.31	199.20	0.00	0.00	195.16	0.00	6.80	204.00	4.00	94
3	5.89	209.50	0.00	0.00	201.28	0.00	14.28	218.96	4.00	392
4	2.18	221.06	0.00	0.00	216.92	0.00	5.44	226.44	4.00	91
5	7.25	224.78	0.00	0.00	215.56	0.00	14.96	233.92	4.00	316
6	3.86	242.14	0.00	0.00	230.52	0.00	10.88	255.00	4.00	408
7	11.45	189.57	0.00	4.08	185.64	0.00	19.04	194.48	4.00	191
8	10.52	179.53	0.00	5.44	172.72	0.00	17.00	186.32	4.00	226
9	12.23	197.96	0.00	6.80	193.12	0.00	17.00	203.32	4.00	125
10	22.60	219.91	0.00	10.88	212.16	0.00	34.68	228.48	4.00	580
11	19.72	206.74	0.00	11.56	197.88	0.00	29.92	216.24	4.00	472
12	29.19	272.99	0.00	23.12	268.60	0.00	35.36	278.80	4.00	184
13	31.07	202.14	0.00	24.48	195.84	0.00	36.72	210.12	4.00	245
14	42.20	203.13	0.00	36.04	196.52	0.00	48.96	209.44	4.00	280
15	44.59	238.81	0.00	36.72	231.20	0.00	51.68	246.84	4.00	353
16	40.44	336.36	0.00	36.72	331.84	0.00	44.20	342.04	4.00	120
17	43.97	321.13	0.00	37.40	313.48	0.00	52.36	330.48	4.00	324
18	50.45	333.49	0.00	42.16	324.36	0.00	59.84	344.08	4.00	531
19	46.00	192.07	0.00	42.84	188.36	0.00	50.32	196.52	4.00	92
20	59.27	342.76	0.00	52.36	337.28	0.00	68.00	348.16	4.00	250
21	64.26	186.25	0.00	55.08	178.84	0.00	74.12	194.48	4.00	447
22	64.78	211.42	0.00	58.48	206.04	0.00	71.40	218.28	4.00	217
23	89.30	336.73	0.00	58.48	319.60	0.00	129.20	348.16	4.00	2258
24	76.05	217.47	0.00	65.28	208.08	0.00	87.72	225.76	4.00	558
25	74.60	202.01	0.00	65.96	194.48	0.00	82.96	208.76	4.00	387
26	77.61	189.52	0.00	69.36	182.92	0.00	89.08	197.88	4.00	325
27	80.83	324.60	0.00	72.76	317.56	0.00	92.48	332.52	4.00	365
28	82.83	297.74	0.00	74.12	289.68	0.00	91.12	306.68	4.00	483
29	80.03	178.51	0.00	74.80	172.72	0.00	87.04	185.64	4.00	254
30	85.29	208.34	0.00	79.56	199.92	0.00	90.44	216.92	4.00	268
31	89.79	194.40	0.00	80.92	187.68	0.00	100.64	202.64	4.00	406
32	98.35	31.22	0.00	82.28	17.68	0.00	116.96	46.24	4.00	1468
33	94.92	175.24	0.00	85.00	167.28	0.00	106.08	184.28	4.00	494
34	92.11	184.69	0.00	85.00	178.16	0.00	99.28	192.44	4.00	212
35	96.58	332.64	0.00	85.68	325.04	0.00	109.48	341.36	4.00	580
36	95.96	223.49	0.00	87.04	215.56	0.00	104.72	233.92	4.00	496
37	95.60	317.92	0.00	87.04	310.76	0.00	104.04	325.72	4.00	339
38	92.79	284.67	0.00	87.72	278.12	0.00	98.60	291.04	4.00	207
39	96.43	207.24	0.00	89.08	197.88	0.00	104.72	216.92	4.00	492
40	98.18	292.25	0.00	89.76	282.88	0.00	108.80	303.28	4.00	439
41	100.11	246.69	0.00	92.48	238.00	0.00	108.12	254.32	4.00	317
